Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd);Nedbør (mnd)
Skei I Jølster;SN57390;10.2024;-;287,4
Skei I Jølster;SN57390;11.2024;-;244,2
Skei I Jølster;SN57390;12.2024;-;327,6
Skei I Jølster;SN57390;01.2025;-;219,4
Skei I Jølster;SN57390;02.2025;-;68,3
Skei I Jølster;SN57390;03.2025;-;432,8
Skei I Jølster;SN57390;04.2025;-;106
Skei I Jølster;SN57390;05.2025;-;111
Skei I Jølster;SN57390;06.2025;-;177,2
Skei I Jølster;SN57390;07.2025;-;55,8
Skei I Jølster;SN57390;08.2025;-;212,6
Data er gyldig per 25.08.2025 (CC BY 4.0), Meteorologisk institutt (MET);;;;
